STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC
T202212131056504m055824,,,T202212131056504m055824,T202302021056504m055824,,164.20988989382863,-5.973451879988561
C202302021056517m074935,,,,C202302021056517m074935,,164.21559859673116,-7.826526402636789
T202312201056599m072509,,,,T202312201056599m072509,,164.2494908759492,-7.419042025027053
C202303011057094m054137,,,,C202303011057094m054137,,164.28918558813905,-5.693505275285214
C202212221057206m073953,,,C202212221057206m073953,,,164.33595897598016,-7.664608299051799
C202212191057273m070415,,,C202212191057273m070415,C202302021057273m070414,,164.3636684343076,-7.070700416125914
C202312201057301m073255,,,,C202312201057301m073255,,164.37539445995108,-7.548749912760352
C202212131057407m055346,,,C202212131057407m055346,,,164.41960538210324,-5.896161905420778
C202303281057498m054618,,,,C202303281057498m054618,,164.4575886857937,-5.771693335587237
T202301031057504m053953,,,T202301031057504m053953,,,164.46018630006148,-5.664766087594856
T202312201057517m070313,,,,T202312201057517m070313,,164.46545240179813,-7.053666513769343
C202312201057541m064936,,,,C202312201057541m064936,,164.47534590479083,-6.826756278553841
A202302021057575m064529,,,,A202302021057575m064529,,164.4894374875872,-6.758106818428493
A202212191058003m070527,,,A202212191058003m070527,A202302021058003m070526,,164.50135225465277,-7.090689919706296
A202303281058118m060106,,,,A202303281058118m060106,,164.54901353896366,-6.018416710717998
C202312201058265m065044,,,,C202312201058265m065044,,164.61062456764478,-6.845452963972011
C202302051058315m064558,,,,C202302051058315m064558,,164.63137339265782,-6.766199863408136
T202212281058359m071820,,,T202212281058359m071820,,,164.64959740347396,-7.305435035603982
T202312201058361m073844,,,,T202312201058361m073844,,164.65048662175425,-7.645673817874
T202301211058383m070420,,,T202301211058383m070420,T202302021058383m070420,,164.65976680943533,-7.072134596406068
A202303281058530m063254,,,,A202303281058530m063254,,164.72083998030124,-6.548382181849207
T202301211059001m070854,,,T202301211059001m070854,,,164.75025499525535,-7.1482883279243925
C202302021059028m053159,,,,C202302021059028m053159,,164.76178155192815,-5.532947339550996
C202212191059033m073728,,,C202212191059033m073728,,,164.7638284152093,-7.624430334104586
T202212251059107m055836,,,T202212251059107m055836,,,164.79444487532425,-5.976674864102519
T202301211059164m074133,,,T202301211059164m074133,T202302021059164m074133,,164.81836127311783,-7.692572667926662
T202401041059316m065244,,,,T202401041059316m065244,,164.8817409710023,-6.878931143300916
C202401041059390m080558,,,,C202401041059390m080558,,164.912338639339,-8.099396832504915
C202212221100032m071440,,,C202212221100032m071440,,,165.01335482959038,-7.244492782896887
C202212191100184m073856,,,C202212191100184m073856,C202302021100184m073855,,165.07652484499363,-7.6487297027839425
C202301181100239m053747,,,C202301181100239m053747,C202302021100238m053747,,165.09941219850248,-5.629665408221713
T202212221100338m060829,,,T202212221100338m060829,,,165.1407365652444,-6.1412909680709005
A202212221100440m072712,,,A202212221100440m072712,,,165.1833624875623,-7.453313606196425
T202212191100523m065020,,,T202212191100523m065020,,,165.21804201720977,-6.838758076040574
A202212191101030m075628,,,A202212191101030m075628,,,165.26251019882446,-7.941045460892025
T202312141101100m052631,,,,T202312141101100m052631,,165.2917423948703,-5.441930320521654
C202212191101184m072716,,,C202212191101184m072716,,,165.32676926723553,-7.4545219279260095
C202302021101192m073740,,,,C202302021101192m073740,,165.33016111550634,-7.6278166163465615
T202212191101225m070160,,,T202212191101225m070160,,,165.34383505174895,-7.033265144418612
T202301211101371m074225,,,T202301211101371m074225,C202302021101371m074224,,165.40463041580523,-7.7068049107027905
C202212191101418m080417,,,C202212191101418m080417,,,165.42410567168062,-8.071380708605375
A202212191101452m074656,,,A202212191101452m074656,,,165.43851206441926,-7.782294910473751
T202212191101458m051627,,,T202212191101458m051627,,,165.44066339489316,-5.274224979716061
A202401041101467m054949,,,,A202401041101467m054949,,165.4447895835048,-5.830338830446133
T202301241101477m073728,,,T202301241101477m073728,T202302021101477m073728,,165.44871733400365,-7.62454300491859
A202212191101486m080804,,,A202212191101486m080804,,,165.45246193192835,-8.134464592051254
