,STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC,Z,Z_ERR,SPECTYPE,OBSERVATION_STATUS
660,T202204211306317p073948,,T202204211306317p073948,,,,196.6321165539052,7.6632680125906685,0.07491468987365703,8.436287951373788e-06,GALAXY,Y
661,C202401011306475p060053,,C202401011306475p060053,,,,196.6980340655825,6.014609926317613,,,,N
662,T202207011306516p065855,,T202207011306516p065855,,,,196.7148300909473,6.981835476822387,,,,N
663,T202304031307155p065047,,,,T202304031307155p065047,,196.8147064513388,6.846497477395147,0.1272066166808757,3.7154160018440856e-06,GALAXY,Y
664,T202401011307194p060010,,T202401011307194p060010,,,,196.8307141171425,6.002901116252238,,,,N
665,T202303311307249p060216,,,,T202303311307249p060216,,196.85377957781063,6.037722500311338,0.11403125424343823,7.62510720795412e-06,GALAXY,Y
666,A202302171307254p070433,,,,A202302171307254p070433,,196.8560004944076,7.075820784110169,,,,N
667,C202401011307287p080128,,C202401011307287p080128,,,,196.8695255656263,8.024479352303747,0.46259791071405865,1.6388534660500196e-05,QSO,Y
668,T202401071307319p055305,,T202401071307319p055305,,,,196.88300527283403,5.884666502480375,,,,N
669,T202302081307322p061914,,,,T202302081307322p061914,,196.88415280606264,6.320498615288303,,,,N
670,T202401011307325p063746,,T202401011307325p063746,,,,196.88537484205185,6.629342410400237,0.06721972211403143,1.1817057037280544e-05,GALAXY,Y
671,C202205211307390p063957,,C202205211307390p063957,,,,196.9125704137341,6.665957854546814,0.16624275748041806,2.5139468170431136e-06,GALAXY,Y
672,A202204211307510p051518,,A202204211307510p051518,,,,196.9624024815417,5.255002767819434,,,,N
673,C202302171307542p053551,,,,C202302171307542p053551,,196.97574313417672,5.597390487019338,,,,N
674,C202204211308070p072049,,C202204211308070p072049,,,,197.0291066551792,7.347077322828845,0.3563098057353496,3.5089597354395355e-05,QSO,Y
