21A,22A,22B,23A,23B,ra_obj,dec_obj
,,C202209140002265m004901,,C202308250002265m004901,0.6105906286534668,-0.8169703928633667
,,T202209140002270m012156,,,0.6126507028746382,-1.3654800224450347
,,C202209140002320m005248,,,0.6332607926078251,-0.8798690374919989
,,,,C202308040002330m010748,0.6376742290698758,-1.1300410734474124
,,,,A202308130002333m002326,0.6386274744647925,-0.3906477300943458
,,,,C202308040002333m010746,0.6387102492428193,-1.1293188814607371
,,C202210020002333m005803,,,0.6388426429020252,-0.9673924518599945
,,C202210110002337m003038,,C202308250002337m003038,0.6402730191576722,-0.5104724089496402
,,,,T202308030002341m013853,0.6420406827859118,-1.6479406702974069
,,T202209140002342m003118,,,0.6426734922707187,-0.521633490459096
,,,,C202308040002343m002052,0.6430718070675515,-0.3478476439818393
,,,,T202308220002360m012444,0.6499473003019328,-1.4121518032895193
,,C202209140002363m010854,,C202308250002363m010854,0.6510828048966056,-1.1484248350491308
,,,,C202308130002363m002724,0.6511483174175554,-0.4567273676939366
,,,,C202309090002401m012010,0.6671155061947124,-1.3362402403518128
,,T202307260002411m005140,,,0.6712505648735743,-0.8610027256484046
,,,,C202308040002418m000833,0.6740155377254321,-0.1424359428837232
,,T202210060002418m012129,,T202308040002418m012129,0.6742693146450774,-1.3580065124493608
,,T202209140002422m001320,,T202308030002423m001320,0.6759893910882387,-0.2222484023106594
,,C202210060002432m001952,,,0.6801348315654168,-0.33122600091219784
,,,,T202308020002448m010760,0.6865415146269619,-1.1332856774636273
,,,,T202308250002449m010524,0.687068096361783,-1.0901047588309185
,,C202209140002468m013848,,,0.6948181100306399,-1.6467476346861698
,,C202209140002475m001108,,,0.6977659510557317,-0.1855245961186092
,,,,C202308250002516m011330,0.7150286723066406,-1.2248735309994423
,,C202209140002537m004539,,C202308040002537m004539,0.7236237202960594,-0.7607057668113262
,,,,T202308020002554m000932,0.7309087187988462,-0.15898983209094428
,,C202210060002558m013717,,T202308040002558m013717,0.7323845405821928,-1.6213585823025647
,,T202210290002565m004735,,,0.7356237423741652,-0.7930040913769576
,,,,T202308020002581m001100,0.7420303646021078,-0.18346073482009784
,,C202209090002582m004721,,,0.7424416933140364,-0.7892003082830551
,,C202209140002592m012049,,C202308030002592m012049,0.7467687499416558,-1.3470645175202842
,,T202210060003008m002259,,T202308030003007m002259,0.7531627082661472,-0.38305046353934985
,,,,T202308130003015m005430,0.7561561667697778,-0.908456929212223
,,A202210110003017m011014,,,0.7570224218717496,-1.1705049981362674
,,C202307200003017m010453,,,0.7571757759593887,-1.081477237805687
,,C202210110003019m011218,,,0.757823081107694,-1.2050074091067011
,,,,T202308220003023m005518,0.7595776356940444,-0.921635655666862
,,T202209140003031m012439,,,0.7628331804232953,-1.4108204516125715
,,,,T202309150003032m001011,0.7631268543678719,-0.16960772651125114
,,T202209140003049m005321,,,0.7702252530107327,-0.8890458170797085
,,C202210200003050m002845,,C202308250003050m002845,0.7707255527727168,-0.47916623739814573
,,,,C202308040003054m001338,0.7723653222846085,-0.2272678007257345
,,C202209140003059m002156,,,0.7746205691664633,-0.3654820666314692
,,A202209140003126m015118,,,0.8026667353090657,-1.854873584400356
,,,,C202308040003144m000836,0.8098466128068759,-0.1432915141624283
,,,,T202309090003172m014751,0.8218459931449758,-1.7976270459492911
,,A202210110003196m004414,,,0.8318157297741974,-0.7372464526208067
,,,,T202309150003199m014851,0.8327750515828962,-1.8141340575371048
,,T202210110003202m005302,,,0.8340342040694828,-0.8839250557077901
,,T202209090003205p000045,,,0.8356249576800155,0.012378169538111885
,,C202210060003210m014953,,C202308040003210m014953,0.8376720439507696,-1.831327177407168
,,,,C202308040003216m005942,0.8399346507792411,-0.9948945253286572
,,C202307260003219m004823,,,0.8413227283250231,-0.8063581573656247
,,,,A202308040003240m001417,0.8499126587730141,-0.23792371450585906
,,C202209140003248m002432,,A202308250003248m002433,0.85331691549539,-0.4090873694506594
,,,,C202308040003253m004356,0.8552616424383088,-0.7321298891116048
,,,,C202308250003254m011304,0.8557045742957585,-1.217761876776747
,,T202209140003254m012747,,T202308020003255m012747,0.856055408122238,-1.4630552270454429
,,T202209140003268m010848,,,0.8614927095050089,-1.1467024819790579
,,,,A202308030003274m011920,0.8642299549190866,-1.3221848123653148
,,,,C202308030003284m012841,0.8683945449046628,-1.4779453377460883
,,C202211100003305m000008,,,0.8769657451373476,-0.00216297954555575
