,STANDARD_NAME,21A,22A,22B,23A,23B,RA,DEC,Z,Z_ERR,SPECTYPE,OBSERVATION_STATUS
464,T202212161111263m074345,,,T202212161111263m074345,T202302021111263m074345,,167.85966786634174,-7.729120941021732,0.04026362975230154,2.423352493949497e-06,GALAXY,Y
465,T202302021111011m063301,,,,T202302021111011m063301,,167.75463597644475,-6.550405778251062,1.0608397814493022,0.0002830444093621408,QSO,Y
466,A202301181110515m061238,,,A202301181110515m061238,C202302021110515m061238,,167.71464567368457,-6.21051820034873,,,,N
467,A202302021110066m080518,,,,A202302021110066m080518,,167.5275287609566,-8.08844417026072,,,,N
468,T202312141108527m062039,,,,T202312141108527m062039,,167.21964723567567,-6.344168636323412,0.03998722934861647,6.021053520229496e-06,GALAXY,Y
469,T202303011107599m080254,,,,T202303011107599m080254,,166.9994441933159,-8.048441193288832,0.22916199659444453,7.168278239225435e-05,GALAXY,Y
470,C202401071107258m060545,,,,C202401071107258m060545,,166.8575372073749,-6.095801293310468,,,,N
471,C202303011105536m071743,,,,C202303011105536m071743,,166.4732295800794,-7.295381053500731,0.2761091046333202,3.16624278312968e-05,GALAXY,Y
472,T202303011105514m060816,,,,T202303011105514m060816,,166.46404892172237,-6.13769784299374,0.10031153531680657,2.0391620910427632e-05,GALAXY,Y
473,C202302021105456m075302,,,,C202302021105456m075302,,166.4398605770973,-7.883778924932902,0.15245052332930734,5.065230435166336e-06,GALAXY,Y
474,T202312141105322m062425,,,,T202312141105322m062425,,166.38413756792886,-6.406996596666134,,,,N
475,T202303311105011m060914,,,,T202303311105011m060914,,166.25466608426257,-6.153877000546447,0.2603742280895568,2.79033620288528e-05,GALAXY,Y
476,C202301241104446m052330,,,C202301241104446m052330,C202302021104446m052330,,166.185890747231,-5.391555768469624,0.2901895215323804,5.888708252103945e-06,GALAXY,Y
477,C202212161104381m070247,,,C202212161104381m070247,,,166.15881474721766,-7.046318196030469,0.04838643280772498,8.969510441326771e-06,GALAXY,Y
478,T202303161104290m052703,,,,T202303161104290m052703,,166.1209802936344,-5.450955357685159,,,,N
479,T202301271104267m045554,,,T202301271104267m045554,T202302021104267m045554,,166.1112871075413,-4.931662140989147,,,,N
480,T202303011104122m065418,,,,T202303011104122m065418,,166.05087943125574,-6.904866034626719,,,,N
481,T202301181102572m053924,,,T202301181102572m053924,,,165.738328375104,-5.656544108031857,,,,N
482,C202312201101597m073257,,,,C202312201101597m073257,,165.49880078590795,-7.549218251788345,0.0870762089228613,8.624561241581177e-07,GALAXY,Y
483,T202301241101477m073728,,,T202301241101477m073728,T202302021101477m073728,,165.44871733400365,-7.62454300491859,,,,N
484,A202401041101467m054949,,,,A202401041101467m054949,,165.4447895835048,-5.830338830446133,0.7655576745652456,8.551903404991674e-05,GALAXY,Y
485,T202212191101225m070160,,,T202212191101225m070160,,,165.34383505174895,-7.033265144418612,0.02560087576531129,7.788717879787521e-07,GALAXY,Y
486,C202302021101192m073740,,,,C202302021101192m073740,,165.33016111550634,-7.6278166163465615,0.06060301928126155,2.8657004834563285e-06,GALAXY,Y
487,C202212191101184m072716,,,C202212191101184m072716,,,165.32676926723553,-7.4545219279260095,,,,N
488,C202301181100239m053747,,,C202301181100239m053747,C202302021100238m053747,,165.09941219850248,-5.629665408221713,,,,N
489,C202212191100184m073856,,,C202212191100184m073856,C202302021100184m073855,,165.07652484499363,-7.6487297027839425,0.06546722427248225,1.2545123983979372e-05,QSO,Y
490,T202301211059164m074133,,,T202301211059164m074133,T202302021059164m074133,,164.81836127311783,-7.692572667926662,,,,N
491,T202212251059107m055836,,,T202212251059107m055836,,,164.79444487532425,-5.976674864102519,,,,N
492,A202303281058530m063254,,,,A202303281058530m063254,,164.72083998030124,-6.548382181849207,,,,N
493,T202301211058383m070420,,,T202301211058383m070420,T202302021058383m070420,,164.65976680943533,-7.072134596406068,0.3101294546252327,1.1284624109834194e-05,GALAXY,Y
